,Unnamed: 0,artistName,trackName,msPlayed,artist_genres,Track Play Count
4357,17813,Isaiah Rashad,Modest,221136,"['hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']",1.0
5191,22936,Madvillain,Meat Grinder,1648,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'psychedelic hip hop']",1.0
4364,17841,Cheap Trick,Dream Police,5503,"['album rock', 'beatlesque', 'classic rock', 'glam metal', 'glam rock', 'hard rock', 'heartland rock', 'mellow gold', 'power pop', 'rock', 'soft rock']",1.0
5192,22937,Kendrick Lamar,Wesley's Theory,287360,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",1.0
4358,17815,Isaiah Rashad,Banana,210793,"['hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']",1.0
4359,17816,Isaiah Rashad,Brad Jordan (feat. Michael Da Vinci),248488,"['hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']",1.0
4360,17817,Isaiah Rashad,Shot You Down (feat. Jay Rock & ScHoolboy Q),426996,"['hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']",1.0
5193,22945,21 Savage,Mr. Right Now (feat. Drake),170736,"['atl hip hop', 'hip hop', 'rap']",1.0
5194,22947,Lil Yachty,"T.D (Lil Yachty & Tierra Whack feat. A$AP Rocky & Tyler, The Creator)",232838,"['atl hip hop', 'melodic rap', 'rap', 'trap']",1.0
5195,22953,Dreamville,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",217866,"['hip hop', 'pop rap', 'rap']",1.0
5196,22958,21 Savage,Many Men,201856,"['atl hip hop', 'hip hop', 'rap']",1.0
4361,17819,MESSIAH!,BEACON TALK,71028,['chill abstract hip hop'],1.0
5180,22794,Kendrick Lamar,"Bitch, Don’t Kill My Vibe - Remix",278800,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",1.0
5178,22777,Kendrick Lamar,King Kunta,234693,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",1.0
5166,22739,Pusha T,Nosetalgia,137787,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']",1.0
3710,13263,W8lss,Beauty,101509,[],1.0
5167,22743,"Tyler, The Creator",Rusty (feat. Domo Genesis & Earl Sweatshirt),6455,"['hip hop', 'rap']",1.0
3720,13403,Mac DeMarco,On the Level,227653,"['edmonton indie', 'lo-fi indie', 'pov: indie']",1.0
3719,13400,Sam Fender,Spice,38140,"['modern rock', 'north east england indie']",1.0
5168,22745,KIDS SEE GHOSTS,4th Dimension,92345,['rap'],1.0
4351,17765,Young Thug,From A Man,41658,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",1.0
3718,13397,The Backseat Lovers,Still a Friend,11981,"['pov: indie', 'slc indie']",1.0
5171,22764,Post Malone,Patient,194333,"['dfw rap', 'melodic rap', 'pop', 'rap']",1.0
3716,13322,Govii,Petula Thomas,137115,[],1.0
3715,13308,rec.X,city signs,103340,[],1.0
3714,13304,Brad Enbata,Warm Place,104242,['lo-fi sleep'],1.0
5172,22765,Post Malone,Over Now,1509,"['dfw rap', 'melodic rap', 'pop', 'rap']",1.0
3712,13275,Secret Corner,A Good Evening,113274,['lo-fi sleep'],1.0
3711,13266,Random Dinu,At the Coffe Shop,63210,[],1.0
3709,13233,E the profit,Reds Cap,57965,['cincinnati rap'],1.0
4367,17845,Cheap Trick,Just Got Back,1536,"['album rock', 'beatlesque', 'classic rock', 'glam metal', 'glam rock', 'hard rock', 'heartland rock', 'mellow gold', 'power pop', 'rock', 'soft rock']",1.0
4374,17872,SoFaygo,Off The Map,141582,"['glitchcore', 'plugg', 'rage rap']",1.0
4352,17767,Travis Scott,FRANCHISE (feat. Young Thug & M.I.A.),23997,"['hip hop', 'rap', 'slap house']",1.0
5173,22766,Post Malone,Candy Paint,135000,"['dfw rap', 'melodic rap', 'pop', 'rap']",1.0
3706,13210,MF DOOM,Rapp Snitch Knishes feat. Mr. Fantastik,172893,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'instrumental hip hop', 'rap']",1.0
3705,13203,DJ Khaled,"GOD DID (feat. Rick Ross, Lil Wayne, Jay-Z, John Legend & Fridayy)",458712,"['hip hop', 'miami hip hop', 'pop rap', 'rap']",1.0
5174,22767,Post Malone,Zack And Codeine,93553,"['dfw rap', 'melodic rap', 'pop', 'rap']",1.0
5175,22768,Post Malone,Feeling Whitney,163886,"['dfw rap', 'melodic rap', 'pop', 'rap']",1.0
4371,17855,Cheap Trick,Voices,206785,"['album rock', 'beatlesque', 'classic rock', 'glam metal', 'glam rock', 'hard rock', 'heartland rock', 'mellow gold', 'power pop', 'rock', 'soft rock']",1.0
5176,22770,Post Malone,Wrapped Around Your Finger,193565,"['dfw rap', 'melodic rap', 'pop', 'rap']",1.0
5177,22771,Post Malone,Something Real,121810,"['dfw rap', 'melodic rap', 'pop', 'rap']",1.0
4369,17848,Buffalo Springfield,For What It's Worth,153693,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'psychedelic rock', 'rock', 'soft rock', 'southern rock']",1.0
4368,17847,Daryl Hall & John Oates,Rich Girl,1429,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']",1.0
3704,13202,Beyoncé,Crazy In Love (feat. Jay-Z),236133,"['pop', 'r&b']",1.0
3770,13714,Baby Keem,BUSS HER UP,139042,"['hip hop', 'rap']",1.0
3771,13716,Baby Keem,NOT MY BRO,128655,"['hip hop', 'rap']",1.0
3773,13720,Kodak Black,Testimony,168066,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",1.0
5082,22194,A Tribe Called Quest,Find a Way,27011,"['conscious hip hop', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap', 'queens hip hop']",1.0
3820,14126,Michael Jackson,You Are Not Alone,2948,"['r&b', 'soul']",1.0
5072,22146,Galantis,Bones (feat. OneRepublic),78036,"['dance pop', 'edm', 'pop', 'pop dance']",1.0
5073,22147,Galantis,Dandelion,140011,"['dance pop', 'edm', 'pop', 'pop dance']",1.0
3818,14123,Michael Jackson,P.Y.T. (Pretty Young Thing),218550,"['r&b', 'soul']",1.0
5074,22148,Galantis,Gold Dust - ILLENIUM 2015 Remix,51258,"['dance pop', 'edm', 'pop', 'pop dance']",1.0
5075,22181,SZA,Childs Play (feat. Chance the Rapper),119105,"['pop', 'r&b', 'rap']",1.0
5076,22183,The Alchemist,6 Five Heartbeats (feat. Vince Staples),2182,"['alternative hip hop', 'drumless hip hop', 'hip hop', 'instrumental hip hop', 'west coast rap']",1.0
5077,22186,Slum Village,Fall In Love,197712,"['alternative hip hop', 'detroit hip hop', 'hardcore hip hop', 'hip hop']",1.0
5079,22189,GoldLink,Justine's Interlude - A COLORS SHOW,132232,['alternative r&b'],1.0
5080,22190,Boldy James,Carruth,97812,"['alternative hip hop', 'boom bap', 'drumless hip hop']",1.0
4323,17445,Lil Wayne,"I Do It (ft. Big Sean, Lil Baby)",184440,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",1.0
5081,22191,Isaiah Rashad,Silkk da Shocka (feat. Syd),1184,"['hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']",1.0
4324,17446,Lil Wayne,Dreams,227680,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",1.0
3812,14104,BabyTron,Jesus Shuttlesworth,112104,"['detroit hip hop', 'scam rap']",1.0
5070,22144,Becky Hill,Run (with Galantis),169626,"['pop dance', 'pop house', 'uk dance', 'uk pop']",1.0
5083,22195,GoldLink,Late Night (feat. Masego),161080,['alternative r&b'],1.0
3810,14091,Arctic Monkeys,Mardy Bum,175440,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",1.0
5084,22197,EARTHGANG,Meditate (feat. J.I.D.),123756,"['atl hip hop', 'hip hop', 'indie hip hop', 'psychedelic hip hop', 'rap', 'underground hip hop']",1.0
4400,17983,The Kid LAROI,TRAGIC (feat. Youngboy Never Broke Again & Internet Money),153147,['australian hip hop'],1.0
3807,14030,The Shins,New Slang - 2021 Remaster,230866,"['albuquerque indie', 'alternative rock', 'canadian indie', 'chamber pop', 'indie pop', 'indie rock', 'modern rock', 'portland indie', 'seattle indie', 'stomp and holler']",1.0
5086,22215,NEIL FRANCES,Music Sounds Better with You,198305,['indie soul'],1.0
