,endTime,artistName,trackName,msPlayed,artist_genres
17994,2023-12-06 03:00,YoungBoy Never Broke Again,Ranada,176483,"['baton rouge rap', 'rap']"
17995,2023-12-06 03:04,DaBaby,JUMP (feat. YoungBoy Never Broke Again),212093,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']"
17996,2023-12-06 03:07,SOB X RBE,Anti,169017,['cali rap']
17997,2023-12-06 03:10,Lil Keed,Nameless,185266,"['melodic rap', 'trap']"
17998,2023-12-06 03:10,Shordie Shordie,Bonnie & Clyde,15382,"['baltimore hip hop', 'cali rap']"
17999,2023-12-06 03:12,Lil Yachty,Strike (Holster),148115,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
18000,2023-12-06 03:15,Playboi Carti,Vamp Anthem,124093,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
18001,2023-12-06 03:17,tana,Antisocial (feat. Slump6s),175333,['hyperpop francais']
18002,2023-12-06 03:20,Ken Carson,Jennifer’s Body,158515,['rage rap']
18003,2023-12-06 03:23,Yeat,Flawlëss (feat. Lil Uzi Vert),176124,"['pluggnb', 'rage rap']"
18004,2023-12-06 03:25,D. Savage,Kome On,134265,['plugg']
18005,2023-12-06 03:28,Hardrock,WA\VE,155690,['rage rap']
18006,2023-12-06 03:29,Rich Amiri,ONE CALL,6651,['rage rap']
18007,2023-12-06 03:29,OsamaSon,X & Sex,57029,['dark plugg']
18008,2023-12-06 03:34,Kid Cudi,Pursuit Of Happiness (Nightmare),295293,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
18009,2023-12-06 03:36,Young Thug,Day Before (with Mac Miller),135583,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']"
18010,2023-12-06 03:41,A$AP Rocky,Purity (feat. Frank Ocean),262360,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
18011,2023-12-06 03:47,Mac Miller,The Question (feat. Lil Wayne),371870,"['hip hop', 'pittsburgh rap', 'rap']"
18012,2023-12-06 03:50,"Tyler, The Creator",See You Again (feat. Kali Uchis),180386,"['hip hop', 'rap']"
18013,2023-12-06 03:53,Isaiah Rashad,West Savannah (feat. SZA),167276,"['hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']"
18014,2023-12-06 03:57,Kid Cudi,Marijuana,260200,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
18015,2023-12-06 04:01,Lil Wayne,Dark Side Of The Moon (feat. Nicki Minaj),242972,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
18016,2023-12-06 04:05,Drake,Don’t Matter To Me (with Michael Jackson),245786,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
18017,2023-12-06 04:10,Mac Miller,Fight the Feeling (feat. Kendrick Lamar & Iman Omari),292109,"['hip hop', 'pittsburgh rap', 'rap']"
18018,2023-12-06 04:13,Azizi Gibson,Toast,179891,"['canadian hip hop', 'underground hip hop']"
18019,2023-12-06 04:18,Lil Wayne,She Will,305840,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
18020,2023-12-06 04:22,Frank Ocean,White Ferrari,248807,"['lgbtq+ hip hop', 'neo soul']"
18021,2023-12-06 04:26,A$AP Rocky,L$D,238306,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
18022,2023-12-06 04:32,Kid Cudi,love.,328573,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
18023,2023-12-06 04:36,Outkast,Ms. Jackson,270506,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']"
18024,2023-12-06 04:41,Kendrick Lamar,PRIDE.,275253,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
18025,2023-12-06 04:45,Chance the Rapper,Same Drugs,257775,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
18026,2023-12-06 04:49,Young Thug,RiRi,244320,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']"
18027,2023-12-06 04:52,Travis Scott,SKELETONS,145588,"['hip hop', 'rap', 'slap house']"
18028,2023-12-06 04:57,Kendrick Lamar,LUST.,307880,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
18029,2023-12-06 04:59,binki,Landline,160329,['modern indie pop']
18030,2023-12-06 05:03,Lorde,Perfect Places,221874,"['art pop', 'metropopolis', 'nz pop', 'pop']"
18031,2023-12-06 05:07,Mac Miller,Hurt Feelings,245640,"['hip hop', 'pittsburgh rap', 'rap']"
