,artistName,trackName,msPlayed,artist_genres
13588,Drake,Screw The World - Interlude,112093,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
13589,Drake,Drew A Picasso,151848,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
13590,Calvin Harris,Thinking About You (feat. Ayah Marar),216363,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
13591,Travis Scott,Nightcrawler (feat. Swae Lee & Chief Keef),48088,"['hip hop', 'rap', 'slap house']"
13592,Travis Scott,Pornography,231826,"['hip hop', 'rap', 'slap house']"
13593,Travis Scott,Oh My Dis Side (feat. Quavo),351253,"['hip hop', 'rap', 'slap house']"
13594,Travis Scott,3500 (feat. Future & 2 Chainz),461840,"['hip hop', 'rap', 'slap house']"
13595,Travis Scott,Wasted (feat. Juicy J),235680,"['hip hop', 'rap', 'slap house']"
13596,Travis Scott,90210 (feat. Kacy Hill),339066,"['hip hop', 'rap', 'slap house']"
13597,Travis Scott,Pray 4 Love (feat. The Weeknd),307000,"['hip hop', 'rap', 'slap house']"
13598,Travis Scott,Nightcrawler (feat. Swae Lee & Chief Keef),321560,"['hip hop', 'rap', 'slap house']"
13599,Travis Scott,Piss On Your Grave (feat. Kanye West),166320,"['hip hop', 'rap', 'slap house']"
13600,Travis Scott,Antidote,262693,"['hip hop', 'rap', 'slap house']"
13601,Travis Scott,Impossible,242506,"['hip hop', 'rap', 'slap house']"
13602,Travis Scott,Maria I'm Drunk (feat. Justin Bieber & Young Thug),349933,"['hip hop', 'rap', 'slap house']"
13603,Travis Scott,Flying High (feat. Toro y Moi),208626,"['hip hop', 'rap', 'slap house']"
13604,Travis Scott,I Can Tell,235533,"['hip hop', 'rap', 'slap house']"
13605,Travis Scott,Apple Pie,219360,"['hip hop', 'rap', 'slap house']"
13606,Travis Scott,Ok Alright (feat. ScHoolboy Q),417693,"['hip hop', 'rap', 'slap house']"
13607,Travis Scott,Never Catch Me,176160,"['hip hop', 'rap', 'slap house']"
13608,Travis Scott,Pornography,68627,"['hip hop', 'rap', 'slap house']"
13609,Kodak Black,Shake Back,183562,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']"
13610,Future,The Percocet & Stripper Joint,148453,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
13611,Aaron May,Let Go,176531,[]
13612,Calvin Harris,Thinking About You (feat. Ayah Marar),247933,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
13613,Kodak Black,Transportin',169344,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']"
13614,Playboi Carti,Yah Mean,165642,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
13615,Travis Scott,Maria I'm Drunk (feat. Justin Bieber & Young Thug),349933,"['hip hop', 'rap', 'slap house']"
13616,Juice WRLD,Used To,176443,"['chicago rap', 'melodic rap', 'rap']"
13617,Mac Miller,Thoughts from a Balcony,185779,"['hip hop', 'pittsburgh rap', 'rap']"
13618,Playboi Carti,Long Time - Intro,211773,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
13619,Kanye West,Runaway,547733,"['chicago rap', 'hip hop', 'rap']"
13620,Mac Miller,"God Is Fair, Sexy Nasty (feat. Kendrick Lamar)",333608,"['hip hop', 'pittsburgh rap', 'rap']"
13621,Kendrick Lamar,Poetic Justice,300160,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
13622,Frank Ocean,Ivy,249191,"['lgbtq+ hip hop', 'neo soul']"
13623,"Tyler, The Creator",SMUCKERS (feat. Lil Wayne & Kanye West),334363,"['hip hop', 'rap']"
13624,A$AP Rocky,Jukebox Joints (feat. Joe Fox & Kanye West),323960,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
13625,JAY-Z,4:44,284493,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
13626,JAY-Z,Feelin' It,227360,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
13627,Juice WRLD,Used To,176443,"['chicago rap', 'melodic rap', 'rap']"
13628,GoldLink,Crew (feat. Brent Faiyaz & Shy Glizzy),41090,['alternative r&b']
13629,Kendrick Lamar,PRIDE.,859,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
13630,Meek Mill,Millidelphia (feat. Swizz Beatz),64760,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
13631,Isaiah Rashad,West Savannah (feat. SZA),812,"['hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']"
13632,Kodak Black,"If I'm Lyin', I'm Flyin'",88885,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']"
13633,Ken Carson,Yale,92206,['rage rap']
13634,Drake,Fancy,180929,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
13635,Gmac Cash,Montgomery Brawl,21248,[]
13636,Gmac Cash,Lions Won Again,75605,[]
13637,Gmac Cash,Lions Won Again,41173,[]
13638,Gmac Cash,Lions Won Again,3575,[]
13639,Drake,Girls Want Girls (with Lil Baby),221979,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
13640,Gucci Mane,Lemonade,246013,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
13641,Young Thug,Oh U Went (feat. Drake),185333,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']"
13642,The Notorious B.I.G.,Hypnotize - 2014 Remaster,16555,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
13643,ScHoolboy Q,Man Of The Year,216013,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
13644,Kendrick Lamar,"Bitch, Don’t Kill My Vibe",37048,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
13645,Gmac Cash,Lions Won Again,42474,[]
13646,Lorde,Ribs,258969,"['art pop', 'metropopolis', 'nz pop', 'pop']"
13647,flipturn,Sad Disco,12018,"['jacksonville indie', 'pov: indie']"
13648,Vance Joy,Mess Is Mine,223640,"['folk-pop', 'modern rock']"
13649,MGMT,Kids,1230,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']"
13650,Foo Fighters,Everlong,2995,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
13651,Cherub,Doses & Mimosas,197278,[]
13652,50 Cent,21 Questions,10448,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
13653,Key Glock,Die Trying,743,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
13654,Key Glock,Die Trying,1486,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
13655,Future,Low Life (feat. The Weeknd),789,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
13656,A$AP Mob,"Young N***a Living (feat. A$AP Ferg, A$AP Ant & A$AP Twelvyy)",2113,"['hip hop', 'rap', 'southern hip hop', 'trap']"
13657,Kendrick Lamar,Keisha's Song (Her Pain) (feat. Ashtro Bot),719,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
13658,Key Glock,Word on the Streets,207600,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
13659,Macklemore,And We Danced (feat. Ziggy Stardust),2388,"['pop rap', 'seattle hip hop']"
13660,Florence + The Machine,Dog Days Are Over,696,"['baroque pop', 'electropop', 'modern rock', 'neo mellow', 'uk alternative pop']"
13661,A$AP Rocky,PMW (All I Really Need) (feat. ScHoolboy Q),234773,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
13662,Key Glock,Die Trying,153106,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
13663,Tory Lanez,Hurts Me,140800,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']"
13664,2 Chainz,4 AM,149513,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
13665,Gmac Cash,Lions Won Again,37888,[]
13666,Gmac Cash,Lions Won Again,21866,[]
13667,Gmac Cash,Lions Won Again,13802,[]
13668,Kendrick Lamar,Hol' Up,173158,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
13669,A$AP Rocky,Sundress,158205,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
13670,Travis Scott,STOP TRYING TO BE GOD,338438,"['hip hop', 'rap', 'slap house']"
13671,Wiz Khalifa,The Race,335613,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
13672,Playboi Carti,Yah Mean,165642,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
13673,Mac Miller,Thoughts from a Balcony,185779,"['hip hop', 'pittsburgh rap', 'rap']"
13674,Aaron May,Let Go,176531,[]
13675,Kendrick Lamar,FEEL.,214826,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
13676,Kanye West,Runaway,83946,"['chicago rap', 'hip hop', 'rap']"
13677,Kanye West,Dark Fantasy,280786,"['chicago rap', 'hip hop', 'rap']"
13678,Kanye West,Gorgeous,357653,"['chicago rap', 'hip hop', 'rap']"
13679,Kanye West,POWER,292093,"['chicago rap', 'hip hop', 'rap']"
13680,Kanye West,All Of The Lights (Interlude),62253,"['chicago rap', 'hip hop', 'rap']"
13681,Kanye West,All Of The Lights,299613,"['chicago rap', 'hip hop', 'rap']"
13682,Kanye West,Monster,378893,"['chicago rap', 'hip hop', 'rap']"
13683,Kanye West,So Appalled,397666,"['chicago rap', 'hip hop', 'rap']"
13684,Kanye West,Devil In A New Dress,351946,"['chicago rap', 'hip hop', 'rap']"
13685,Kanye West,Runaway,547733,"['chicago rap', 'hip hop', 'rap']"
13686,Kanye West,Hell Of A Life,327786,"['chicago rap', 'hip hop', 'rap']"
13687,Kanye West,Blame Game,377620,"['chicago rap', 'hip hop', 'rap']"
13688,Kanye West,Lost In The World,106649,"['chicago rap', 'hip hop', 'rap']"
