,Unnamed: 0,trackName,Artist,msPlayed,artist_genres,Track Play Count
5684,5684,You See Me,Childish Gambino,195373,"['atl hip hop', 'hip hop', 'rap']",5
5199,5199,Light It Up,"Marshmello, Tyga & Chris Brown",137448,"['brostep', 'edm', 'pop', 'progressive electro house']",5
2916,2916,giving in (acoustic),iris,191200,"['arkansas country', 'folk', 'singer-songwriter']",5
1855,1855,Bed of Lies (feat. Skylar Grey),Nicki Minaj,269947,"['hip pop', 'pop', 'queens hip hop', 'rap']",5
5095,5095,We're Going Home,Vance Joy,207907,"['folk-pop', 'modern rock']",5
5850,5850,Parachute,Chris Stapleton,253200,"['contemporary country', 'outlaw country']",5
1917,1917,Plain Jane,A$AP Ferg,173602,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",5
4979,4979,White Horse (Taylor’s Version),Taylor Swift,234516,['pop'],5
1017,1017,Psycho (feat. Ty Dolla $ign),Post Malone,221446,"['dfw rap', 'melodic rap', 'pop', 'rap']",5
1025,1025,92 Explorer,Post Malone,211432,"['dfw rap', 'melodic rap', 'pop', 'rap']",5
1032,1032,Somewhere Only We Know,Keane,238787,"['neo mellow', 'piano rock', 'pop rock']",5
5000,5000,Me and You,Cold Hart & Lil Peep,224813,"['cloud rap', 'emo rap']",5
5001,5001,Sex On Fire,Kings of Leon,203287,"['modern rock', 'rock']",5
5900,5900,X,"ScHoolboy Q, 2 Chainz, Saudi",267428,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",5
3124,3124,In The Party,Flo Milli,137362,['viral rap'],5
5873,5873,Dancing In the Moonlight,King Harvest,181133,['soft rock'],5
5057,5057,WHAT TO DO? (feat. Don Toliver),JACKBOYS & Travis Scott,250142,['pop rap'],5
5058,5058,HAD ENOUGH (feat. Quavo & Offset),Don Toliver,157133,['pop rap'],5
5893,5893,Stay Fly,Three 6 Mafia,236600,"['crunk', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'southern hip hop', 'tennessee hip hop', 'trap']",5
5888,5888,Hot (feat. Gunna),Young Thug,193027,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",5
1884,1884,Like Real People Do,Hozier,198029,"['irish singer-songwriter', 'modern rock', 'pov: indie']",5
1877,1877,Truffle Butter (feat. Drake & Lil Wayne),Nicki Minaj,219220,"['hip pop', 'pop', 'queens hip hop', 'rap']",5
5874,5874,Battle Scars,Lupe Fiasco & Guy Sebastian,250319,"['chicago rap', 'conscious hip hop', 'hip hop', 'political hip hop', 'pop rap', 'rap', 'southern hip hop']",5
5202,5202,Cold-Blooded,Zayde Wølf,215233,"['bossbeat', 'modern alternative rock', 'rebel blues']",5
5218,5218,I'm Still,Juice WRLD,192859,"['chicago rap', 'melodic rap', 'rap']",5
5663,5663,Broadway Girls (feat. Morgan Wallen),Lil Durk,185600,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",5
2993,2993,I Lived,OneRepublic,234545,"['piano rock', 'pop']",5
1625,1625,Feel My Love,Glenn Travis,235363,[],5
5479,5479,No Friends In The Industry,Drake,204347,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",5
5468,5468,Girls Want Girls (feat. Lil Baby),Drake,221980,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",5
5462,5462,Man of the Year,ScHoolboy Q,216012,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",5
4023,4023,Hold Me While You Wait,Lewis Capaldi,205687,"['pop', 'uk pop']",5
5339,5339,Catch Me If You Can (feat. Brent Cobb),Canaan Smith,169700,"['contemporary country', 'country road', 'modern country rock']",5
1480,1480,LA Devotee,Panic! At the Disco,196523,"['modern rock', 'pop']",5
2966,2966,I Know,Post Malone,141441,"['dfw rap', 'melodic rap', 'pop', 'rap']",5
5524,5524,My Klik (feat. John Wicks & JackBoy),Kodak Black,205712,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",5
2990,2990,Say My Name,"Alex Brightman, Sophia Anne Caruso, Kerry Butler & Rob McClure",235286,[],5
5419,5419,Dominoes,Lorde,123148,"['art pop', 'metropopolis', 'nz pop', 'pop']",5
1504,1504,Congratulations (feat. Quavo),Post Malone,220285,"['dfw rap', 'melodic rap', 'pop', 'rap']",5
5378,5378,Royalty (feat. Future & Big Sean),Jeremih,254462,"['chicago rap', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",5
1530,1530,GDFR (feat. Sage the Gemini & Lookas),Flo Rida,190186,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",5
2973,2973,Wow.,Post Malone,149507,"['dfw rap', 'melodic rap', 'pop', 'rap']",5
5394,5394,Motley Crew,Post Malone,184213,"['dfw rap', 'melodic rap', 'pop', 'rap']",5
5507,5507,Up Late,Kodak Black,209411,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",5
5305,5305,Heart of a Giant (feat. Rod Wave),Polo G,168765,"['chicago rap', 'rap']",5
5649,5649,Wash.,Bon Iver,298587,"['chamber pop', 'eau claire indie', 'indie folk', 'melancholia', 'modern rock']",5
1704,1704,I Can Take It,Jake Etheridge,219173,['indiecoustica'],5
1301,1301,More Than This,One Direction,228693,"['boy band', 'pop', 'post-teen pop', 'talent show']",5
5233,5233,Solar Power,Lorde,192621,"['art pop', 'metropopolis', 'nz pop', 'pop']",5
5241,5241,half of my hometown (feat. Kenny Chesney),Kelsea Ballerini,231832,"['contemporary country', 'country']",5
1312,1312,Moments,One Direction,262173,"['boy band', 'pop', 'post-teen pop', 'talent show']",5
5242,5242,"Granted (From ""High School Musical: The Musical: The Series"" Season 2)",Olivia Rodrigo,154041,['pop'],5
1318,1318,Don't Forget Where You Belong,One Direction,241000,"['boy band', 'pop', 'post-teen pop', 'talent show']",5
1709,1709,Empty Space,James Arthur,213822,"['pop', 'talent show', 'uk pop']",5
1695,1695,How to Save a Life (New Version),The Fray,262533,"['neo mellow', 'piano rock', 'pop', 'pop rock']",5
5532,5532,"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)",A$AP Rocky,315769,"['east coast hip hop', 'hip hop', 'rap', 'trap']",5
3990,3990,GIMMICK,Gunna,128640,"['atl hip hop', 'melodic rap', 'rap', 'trap']",5
5286,5286,Where the Skies Are Blue (Bonus Track),The Lumineers,140120,"['folk-pop', 'modern rock', 'stomp and holler']",5
5583,5583,Yonkers,"Tyler, The Creator",249333,"['hip hop', 'rap']",5
4010,4010,Drop Top Benz (feat. Lil Skies),Lil Gnar,134027,"['atl hip hop', 'melodic rap']",5
5580,5580,Soulmate,Mac Miller,272991,"['hip hop', 'pittsburgh rap', 'rap']",5
3026,3026,Water (feat. Ant Clemons),Kanye West,168420,"['chicago rap', 'hip hop', 'rap']",5
4052,4052,Best of Wives and Best of Women,Lin-Manuel Miranda & Phillipa Soo,47943,[],5
1006,1006,Whatcha Say,Jason Derulo,222605,"['dance pop', 'pop']",5
1205,1205,This Way,Khalid & H.E.R.,211205,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",5
5934,5934,Life Is Good (feat. Drake),Future,237918,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",5
6127,6127,Euthanasia,Post Malone,145796,"['dfw rap', 'melodic rap', 'pop', 'rap']",5
3169,3169,Dirty Dirty (feat. Lil Skies),Smokepurpp,144011,"['melodic rap', 'miami hip hop', 'trap', 'underground hip hop']",5
6027,6027,No Church in the Wild (feat. Frank Ocean & The-Dream),JAY-Z & Kanye West,272509,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",5
6036,6036,Colossus,"Tyler, The Creator",213340,"['hip hop', 'rap']",5
747,747,Life of the Party (Acoustic),Shawn Mendes,193708,"['canadian pop', 'pop', 'viral pop']",5
